"filename", "language", "Dart", "C++", "YAML", "JSON", "Markdown", "Swift", "HTML", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\Pleb\Documents\ticketing_system\README.md", "Markdown", 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, -7, -17
"c:\Users\Pleb\Documents\ticketing_system\analysis_options.yaml", "YAML", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -22, -4, -29
"c:\Users\Pleb\Documents\ticketing_system\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, -52, 0, -5, -12, -69
"c:\Users\Pleb\Documents\ticketing_system\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -4, -1, -8
"c:\Users\Pleb\Documents\ticketing_system\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, -6, -1, -35
"c:\Users\Pleb\Documents\ticketing_system\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"c:\Users\Pleb\Documents\ticketing_system\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"c:\Users\Pleb\Documents\ticketing_system\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"c:\Users\Pleb\Documents\ticketing_system\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"c:\Users\Pleb\Documents\ticketing_system\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -4, -1, -8
"c:\Users\Pleb\Documents\ticketing_system\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -5, -32
"c:\Users\Pleb\Documents\ticketing_system\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\Pleb\Documents\ticketing_system\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"c:\Users\Pleb\Documents\ticketing_system\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -5, -21
"c:\Users\Pleb\Documents\ticketing_system\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -2, -4, -13
"c:\Users\Pleb\Documents\ticketing_system\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, -2, -14
"c:\Users\Pleb\Documents\ticketing_system\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, -122, 0, 0, 0, 0, 0, 0, 0, -1, -123
"c:\Users\Pleb\Documents\ticketing_system\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, 0, -1, -24
"c:\Users\Pleb\Documents\ticketing_system\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, -2, -5
"c:\Users\Pleb\Documents\ticketing_system\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, -1, -1, -38
"c:\Users\Pleb\Documents\ticketing_system\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, -1, -1, -27
