Date : 2024-01-18 14:20:42
Directory : c:\Users\Pleb\Documents\ticketing_system\lib
Total : 47 files,  -1501 codes, -289 comments, -282 blanks, all -2072 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Properties |          2 |         -8 |          0 |         -2 |        -10 |
| Markdown   |          2 |        -13 |          0 |         -9 |        -22 |
| Dart       |          1 |        -14 |        -10 |         -7 |        -31 |
| YAML       |          2 |        -29 |        -82 |        -18 |       -129 |
| HTML       |          1 |        -38 |        -16 |         -6 |        -60 |
| Swift      |          6 |        -54 |         -7 |        -20 |        -81 |
| Groovy     |          3 |        -95 |         -5 |        -22 |       -122 |
| JSON       |          4 |       -248 |          0 |         -4 |       -252 |
| XML        |         10 |       -464 |        -48 |        -12 |       -524 |
| C++        |         16 |       -538 |       -121 |       -182 |       -841 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |         47 |     -1,501 |       -289 |       -282 |     -2,072 |
| ..                                                                                                     |         47 |     -1,501 |       -289 |       -282 |     -2,072 |
| .. (Files)                                                                                             |          3 |        -39 |        -82 |        -25 |       -146 |
| ..\android                                                                                             |         12 |       -163 |        -51 |        -33 |       -247 |
| ..\android (Files)                                                                                     |          3 |        -46 |          0 |        -11 |        -57 |
| ..\android\app                                                                                         |          8 |       -112 |        -51 |        -21 |       -184 |
| ..\android\app (Files)                                                                                 |          1 |        -52 |         -5 |        -12 |        -69 |
| ..\android\app\src                                                                                     |          7 |        -60 |        -46 |         -9 |       -115 |
| ..\android\app\src\debug                                                                               |          1 |         -3 |         -4 |         -1 |         -8 |
| ..\android\app\src\main                                                                                |          5 |        -54 |        -38 |         -7 |        -99 |
| ..\android\app\src\main (Files)                                                                        |          1 |        -28 |         -6 |         -1 |        -35 |
| ..\android\app\src\main\res                                                                            |          4 |        -26 |        -32 |         -6 |        -64 |
| ..\android\app\src\main\res\drawable                                                                   |          1 |         -4 |         -7 |         -2 |        -13 |
| ..\android\app\src\main\res\drawable-v21                                                               |          1 |         -4 |         -7 |         -2 |        -13 |
| ..\android\app\src\main\res\values                                                                     |          1 |         -9 |         -9 |         -1 |        -19 |
| ..\android\app\src\main\res\values-night                                                               |          1 |         -9 |         -9 |         -1 |        -19 |
| ..\android\app\src\profile                                                                             |          1 |         -3 |         -4 |         -1 |         -8 |
| ..\android\gradle                                                                                      |          1 |         -5 |          0 |         -1 |         -6 |
| ..\android\gradle\wrapper                                                                              |          1 |         -5 |          0 |         -1 |         -6 |
| ..\ios                                                                                                 |          8 |       -229 |         -4 |        -13 |       -246 |
| ..\ios\Runner                                                                                          |          7 |       -222 |         -2 |         -9 |       -233 |
| ..\ios\Runner (Files)                                                                                  |          2 |        -13 |          0 |         -3 |        -16 |
| ..\ios\RunnerTests                                                                                     |          1 |         -7 |         -2 |         -4 |        -13 |
| ..\ios\Runner\Assets.xcassets                                                                          |          3 |       -148 |          0 |         -4 |       -152 |
| ..\ios\Runner\Assets.xcassets\AppIcon.appiconset                                                       |          1 |       -122 |          0 |         -1 |       -123 |
| ..\ios\Runner\Assets.xcassets\LaunchImage.imageset                                                     |          2 |        -26 |          0 |         -3 |        -29 |
| ..\ios\Runner\Base.lproj                                                                               |          2 |        -61 |         -2 |         -2 |        -65 |
| ..\linux                                                                                               |          5 |        -98 |        -27 |        -38 |       -163 |
| ..\linux (Files)                                                                                       |          3 |        -86 |        -18 |        -27 |       -131 |
| ..\linux\flutter                                                                                       |          2 |        -12 |         -9 |        -11 |        -32 |
| ..\macos                                                                                               |          6 |       -446 |         -5 |        -16 |       -467 |
| ..\macos\Flutter                                                                                       |          1 |         -8 |         -3 |         -4 |        -15 |
| ..\macos\Runner                                                                                        |          4 |       -431 |          0 |         -8 |       -439 |
| ..\macos\Runner (Files)                                                                                |          2 |        -20 |          0 |         -6 |        -26 |
| ..\macos\RunnerTests                                                                                   |          1 |         -7 |         -2 |         -4 |        -13 |
| ..\macos\Runner\Assets.xcassets                                                                        |          1 |        -68 |          0 |         -1 |        -69 |
| ..\macos\Runner\Assets.xcassets\AppIcon.appiconset                                                     |          1 |        -68 |          0 |         -1 |        -69 |
| ..\macos\Runner\Base.lproj                                                                             |          1 |       -343 |          0 |         -1 |       -344 |
| ..\test                                                                                                |          1 |        -14 |        -10 |         -7 |        -31 |
| ..\web                                                                                                 |          2 |        -73 |        -16 |         -7 |        -96 |
| ..\windows                                                                                             |         10 |       -439 |        -94 |       -143 |       -676 |
| ..\windows\flutter                                                                                     |          2 |        -11 |         -9 |        -11 |        -31 |
| ..\windows\runner                                                                                      |          8 |       -428 |        -85 |       -132 |       -645 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                               | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Pleb\Documents\ticketing_system\README.md                                                     | Markdown   |        -10 |          0 |         -7 |        -17 |
| c:\Users\Pleb\Documents\ticketing_system\analysis_options.yaml                                         | YAML       |         -3 |        -22 |         -4 |        -29 |
| c:\Users\Pleb\Documents\ticketing_system\android\app\build.gradle                                      | Groovy     |        -52 |         -5 |        -12 |        -69 |
| c:\Users\Pleb\Documents\ticketing_system\android\app\src\debug\AndroidManifest.xml                     | XML        |         -3 |         -4 |         -1 |         -8 |
| c:\Users\Pleb\Documents\ticketing_system\android\app\src\main\AndroidManifest.xml                      | XML        |        -28 |         -6 |         -1 |        -35 |
| c:\Users\Pleb\Documents\ticketing_system\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |         -4 |         -7 |         -2 |        -13 |
| c:\Users\Pleb\Documents\ticketing_system\android\app\src\main\res\drawable\launch_background.xml       | XML        |         -4 |         -7 |         -2 |        -13 |
| c:\Users\Pleb\Documents\ticketing_system\android\app\src\main\res\values-night\styles.xml              | XML        |         -9 |         -9 |         -1 |        -19 |
| c:\Users\Pleb\Documents\ticketing_system\android\app\src\main\res\values\styles.xml                    | XML        |         -9 |         -9 |         -1 |        -19 |
| c:\Users\Pleb\Documents\ticketing_system\android\app\src\profile\AndroidManifest.xml                   | XML        |         -3 |         -4 |         -1 |         -8 |
| c:\Users\Pleb\Documents\ticketing_system\android\build.gradle                                          | Groovy     |        -27 |          0 |         -5 |        -32 |
| c:\Users\Pleb\Documents\ticketing_system\android\gradle.properties                                     | Properties |         -3 |          0 |         -1 |         -4 |
| c:\Users\Pleb\Documents\ticketing_system\android\gradle\wrapper\gradle-wrapper.properties              | Properties |         -5 |          0 |         -1 |         -6 |
| c:\Users\Pleb\Documents\ticketing_system\android\settings.gradle                                       | Groovy     |        -16 |          0 |         -5 |        -21 |
| c:\Users\Pleb\Documents\ticketing_system\ios\RunnerTests\RunnerTests.swift                             | Swift      |         -7 |         -2 |         -4 |        -13 |
| c:\Users\Pleb\Documents\ticketing_system\ios\Runner\AppDelegate.swift                                  | Swift      |        -12 |          0 |         -2 |        -14 |
| c:\Users\Pleb\Documents\ticketing_system\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |       -122 |          0 |         -1 |       -123 |
| c:\Users\Pleb\Documents\ticketing_system\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |        -23 |          0 |         -1 |        -24 |
| c:\Users\Pleb\Documents\ticketing_system\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |         -3 |          0 |         -2 |         -5 |
| c:\Users\Pleb\Documents\ticketing_system\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |        -36 |         -1 |         -1 |        -38 |
| c:\Users\Pleb\Documents\ticketing_system\ios\Runner\Base.lproj\Main.storyboard                         | XML        |        -25 |         -1 |         -1 |        -27 |
| c:\Users\Pleb\Documents\ticketing_system\ios\Runner\Runner-Bridging-Header.h                           | C++        |         -1 |          0 |         -1 |         -2 |
| c:\Users\Pleb\Documents\ticketing_system\linux\flutter\generated_plugin_registrant.cc                  | C++        |         -7 |         -4 |         -5 |        -16 |
| c:\Users\Pleb\Documents\ticketing_system\linux\flutter\generated_plugin_registrant.h                   | C++        |         -5 |         -5 |         -6 |        -16 |
| c:\Users\Pleb\Documents\ticketing_system\linux\main.cc                                                 | C++        |         -5 |          0 |         -2 |         -7 |
| c:\Users\Pleb\Documents\ticketing_system\linux\my_application.cc                                       | C++        |        -74 |        -11 |        -20 |       -105 |
| c:\Users\Pleb\Documents\ticketing_system\linux\my_application.h                                        | C++        |         -7 |         -7 |         -5 |        -19 |
| c:\Users\Pleb\Documents\ticketing_system\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |         -8 |         -3 |         -4 |        -15 |
| c:\Users\Pleb\Documents\ticketing_system\macos\RunnerTests\RunnerTests.swift                           | Swift      |         -7 |         -2 |         -4 |        -13 |
| c:\Users\Pleb\Documents\ticketing_system\macos\Runner\AppDelegate.swift                                | Swift      |         -8 |          0 |         -2 |        -10 |
| c:\Users\Pleb\Documents\ticketing_system\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |        -68 |          0 |         -1 |        -69 |
| c:\Users\Pleb\Documents\ticketing_system\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |       -343 |          0 |         -1 |       -344 |
| c:\Users\Pleb\Documents\ticketing_system\macos\Runner\MainFlutterWindow.swift                          | Swift      |        -12 |          0 |         -4 |        -16 |
| c:\Users\Pleb\Documents\ticketing_system\pubspec.yaml                                                  | YAML       |        -26 |        -60 |        -14 |       -100 |
| c:\Users\Pleb\Documents\ticketing_system\test\widget_test.dart                                         | Dart       |        -14 |        -10 |         -7 |        -31 |
| c:\Users\Pleb\Documents\ticketing_system\web\index.html                                                | HTML       |        -38 |        -16 |         -6 |        -60 |
| c:\Users\Pleb\Documents\ticketing_system\web\manifest.json                                             | JSON       |        -35 |          0 |         -1 |        -36 |
| c:\Users\Pleb\Documents\ticketing_system\windows\flutter\generated_plugin_registrant.cc                | C++        |         -6 |         -4 |         -5 |        -15 |
| c:\Users\Pleb\Documents\ticketing_system\windows\flutter\generated_plugin_registrant.h                 | C++        |         -5 |         -5 |         -6 |        -16 |
| c:\Users\Pleb\Documents\ticketing_system\windows\runner\flutter_window.cpp                             | C++        |        -49 |         -7 |        -16 |        -72 |
| c:\Users\Pleb\Documents\ticketing_system\windows\runner\flutter_window.h                               | C++        |        -20 |         -5 |         -9 |        -34 |
| c:\Users\Pleb\Documents\ticketing_system\windows\runner\main.cpp                                       | C++        |        -30 |         -4 |        -10 |        -44 |
| c:\Users\Pleb\Documents\ticketing_system\windows\runner\resource.h                                     | C++        |         -9 |         -6 |         -2 |        -17 |
| c:\Users\Pleb\Documents\ticketing_system\windows\runner\utils.cpp                                      | C++        |        -54 |         -2 |        -10 |        -66 |
| c:\Users\Pleb\Documents\ticketing_system\windows\runner\utils.h                                        | C++        |         -8 |         -6 |         -6 |        -20 |
| c:\Users\Pleb\Documents\ticketing_system\windows\runner\win32_window.cpp                               | C++        |       -210 |        -24 |        -55 |       -289 |
| c:\Users\Pleb\Documents\ticketing_system\windows\runner\win32_window.h                                 | C++        |        -48 |        -31 |        -24 |       -103 |
| Total                                                                                                  |            |     -1,501 |       -289 |       -282 |     -2,072 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
